name	length	score	pvalue
S5C1386	2320	0.728410176905158	0.0664487583210428
S5C1411	4901	0.483103850068872	0.0921658986175115
S5C1434	3088	0.990263115051662	0.00218287654620422
S5C1486	2556	0.850212661957893	0.0296169330729063
S5C1640	2047	0.939615631670465	0.00785267269900745
S5C1661	3689	0.196974743713947	0.227140431724472
S5C1684	2814	0.0213452366739247	0.824211743133894
S5C1686	2544	0.796657863910551	0.0444851915334635
S5C1692	2262	0.340144386325042	0.247737872204728
S5C1706	2080	0.0856149302552737	0.575557061426237
S5C1742	5637	0.0238709065567016	0.583798205190395
S5C1785	4309	0.510623230234005	0.0848896434634974
S5C1836	5553	0.21899663426171	0.207979626485569
S5C1845	5772	0.678793916490347	0.0495998059665292
S5C1862	3801	0.970230420040944	0.00521464952704342
S5C1864	4211	0.310608560007546	0.157167111326704
S5C1866	4134	0.183268433044435	0.237569730778559
S5C1916	7455	0.101167545969039	0.333131215134611
S5C1928	2163	0.118002926848602	0.50528161996253
S5C1951	2680	0.319050994337817	0.264519472236617
S5C1955	2652	0.669507990113986	0.0846653645314306
S5C1963	4612	0.967450728991131	0.00533592044627698
S5C2000	5043	0.4790827478194	0.093984962406015
S5C2008	2014	0.273079638821937	0.303264639056085
S5C2061	4904	0.0563728185609703	0.431481930633034
S5C2072	3371	0.712196684131921	0.0439000727625515
S5C2127	2477	0.290667566858537	0.28775860007175
S5C2142	3207	0.0807572542025716	0.373393160320155
S5C2175	3753	0.230555231841244	0.19985447489692
S5C2187	4614	0.800368956472219	0.0287412078583556
S5C2196	3358	0.00480727540837733	0.81882124666505
S5C2209	3738	0.25507301452727	0.186635944700461
S5C2230	2368	0.350832627476917	0.23988519950572
S5C2242	5966	0.701878579537439	0.0454765947125879
S5C2277	8254	0.0148698784990037	0.666262430269221
S5C2308	8396	0.129811482695656	0.291656560756731
S5C2313	2308	0.0900607636661406	0.565591740742217
S5C2333	5048	0.105214184718661	0.326703856415232
S5C2337	2332	0.294637779710432	0.284171084625503
S5C2343	3719	0.991338910168249	0.00206160562697065
S5C2376	3717	0.943900315888412	0.00788260975018191
S5C2419	6328	0.999350475946403	0
S5C2432	2741	0.16745594720066	0.425399609359429
S5C2513	2316	0.185289528420554	0.400047833539283
S5C2630	2492	0.363832966960167	0.231354885000199
S5C2638	3874	0.0424569365947478	0.481324278438031
S5C2653	3104	0.755122997781585	0.0358961920931361
S5C2711	7510	0.295862272043211	0.16383701188455
S5C2724	2465	0.191364206614837	0.391995854426595
S5C2741	2282	0.106633668374615	0.52744449316379
S5C2743	7413	0.425931890244031	0.110841620179481
S5C2785	2539	0.156979300718083	0.441065093474708
S5C2822	3409	0.0695542863957674	0.395949551297599
S5C2851	5111	0.430288357615795	0.109628910987145
S5C2862	2922	0.121815988429926	0.498664647028341
S5C2864	2313	0.205005978411424	0.374696057719137
S5C2929	2604	0.921543859220677	0.0119185235380875
S5C3014	3809	0.0142030301199356	0.672932330827068
S5C3057	2319	0.125863297741702	0.491529477418583
S5C3064	6941	0.881630256812082	0.0161290322580645
S5C3065	2590	0.943023513969423	0.00717503089249412
S5C3147	2187	0.499323417606103	0.156256228325428
S5C3170	3288	0.00149335215399683	0.918869755032743
S5C3186	5283	0.842191990966938	0.0226776618966772
S5C3275	2507	0.184763427789127	0.400765336628533
S5C3288	4462	0.958665896398459	0.00642735871937909
